obj_id,complexity_mse,complexity_feat
95,0.001260593293409329,0.02147487799326579
47,0.001283275172479787,0.022174905571672652
35,0.005274341493431065,0.023649500475989446
25,0.003139930571908028,0.038363451759020485
94,0.0006799910014605201,0.03985924356513553
34,0.0022945095681481892,0.04190571357806524
56,0.0050901261404053206,0.06367122133572896
50,0.0018022051521661019,0.07432947307825089
70,0.008519377145502303,0.10387890289227168
24,0.004487656603386212,0.10514444940619999
86,0.003048323909752071,0.10611892326010598
83,0.006089719465105898,0.12180269178416994
73,0.010080908347542087,0.1307581447892719
4,0.007363371208258387,0.13342568609449598
66,0.0127823167713359,0.1372025418612692
5,0.007387980724969465,0.14282451570034027
18,0.00592430226970464,0.1455434693230523
7,0.004479681701114815,0.14865167770120832
72,0.017045470911802516,0.1584467829929458
92,0.013192225228218982,0.1664397335714764
87,0.015535256307986047,0.17484252899885178
58,0.01822351528486858,0.17610184931092793
26,0.009258419074790759,0.17656715462605158
2,0.011514466773304675,0.1851957986752192
53,0.021195876269808248,0.19179322156641218
71,0.015917032879466813,0.19397501481903923
88,0.010339767769134292,0.194434002869659
29,0.01485547630323304,0.1956092831161287
32,0.013481782193088697,0.19616428265968958
30,0.009809466324643128,0.1977906127770742
61,0.012026328722842865,0.19848090410232544
62,0.01153271962215917,0.2270666542980406
33,0.024645341146323416,0.24130094051361084
99,0.0146216607083463,0.24260544859700733
64,0.015260855628487965,0.24348950882752737
20,0.015352848179948827,0.2525421604514122
93,0.013188975203471879,0.27832633008559543
36,0.013945708348829713,0.28923237323760986
11,0.012884793486187441,0.2923988757861985
63,0.009337512478749786,0.29811901681953007
17,0.022660824961753354,0.30989883095026016
49,0.01290220363686482,0.31178738590743804
82,0.010085367390678989,0.3324613745013873
41,0.028749388021727402,0.3363000171052085
9,0.03526715481550329,0.33997418565882576
10,0.06216746948969861,0.34679269790649414
12,0.03657560495452748,0.34803112430704963
89,0.03080007907313605,0.3534126281738281
52,0.03717145184054971,0.359338147772683
40,0.06402952205907139,0.36267588370376164
13,0.04937810629295806,0.36824406766229206
14,0.04882562983160218,0.37431375682353973
22,0.044545019019602075,0.3867807288964589
85,0.07393207846002446,0.38725370913743973
59,0.04545389876390497,0.38988715493016773
16,0.04403405600330896,0.3962914397319158
46,0.05546805930013458,0.3970404739181201
1,0.04012632191491624,0.4001331470078892
81,0.033719804163815245,0.40332207911544377
75,0.02701405104663637,0.4059944699207942
96,0.0856723462541898,0.40910596897204715
37,0.07663724188589388,0.42802417526642483
54,0.048000174264113106,0.43354861272705925
28,0.02269800435492976,0.4338981467816565
97,0.045632475392065115,0.4384811437792248
55,0.058698523323982954,0.4388751909136772
43,0.021033937266717356,0.4425208129816585
60,0.05609890316716499,0.4436486065387726
90,0.03269717994973891,0.44535112215412986
74,0.05047313429208265,0.45755234691831803
48,0.051850146510534816,0.45790200928846997
23,0.06715420372266737,0.4595697969198227
31,0.07695369024036659,0.4807870081729359
100,0.04754746630270448,0.4826110435856713
91,0.07878165495478445,0.48320196320613223
39,0.08015633188188076,0.4832310014300876
42,0.02834433455589331,0.4853755194279883
3,0.05590961405283047,0.4881838767064942
8,0.05559351145186358,0.49796955121888054
78,0.023373777253760233,0.4987006319893731
27,0.04157660658367806,0.4989711633986897
15,0.05747402423164911,0.5007787843545278
6,0.06985323819228345,0.502226279841529
51,0.06039642930651704,0.5036592798100578
45,0.05988001719945007,0.5088382032182481
38,0.02802903166351219,0.5088698267936707
77,0.049287773254844874,0.509374669028653
69,0.09230268042948511,0.5102246287796233
79,0.0694164118419091,0.5182679287261434
19,0.0650300439964566,0.5196081350247065
76,0.08368881978094578,0.5273913360304303
57,0.08403115176285307,0.5374179639750056
65,0.10168066532868478,0.5674539390537474
80,0.08007034359292851,0.5712590540448824
44,0.09646601328212354,0.5759081716338793
68,0.0898826051917341,0.5877078490124809
98,0.04690017023434242,0.6140837603145175
84,0.07590965693816543,0.6150488273964988
67,0.11912497060580386,0.6239694149957763
21,0.09611572604626417,0.6288663446903229
